Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
DSP Banking & PSU Debt Fund-Reg(M-IDCW Reinv), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,10.21,4.5,3.32,5.02,1000.0,1.3712016129032258,1030.463038180341
Edelweiss Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,16.39,4.64,4.26,4.99,5000.0,1.08,1000.0
Edelweiss Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,12.02,4.64,4.18,4.76,5000.0,1.08,1000.0
HDFC Corp Bond Fund(IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,17.44,5.52,3.47,5.77,1000.0,0.6,1000.0
Kotak Equity Hybrid Fund(G), Hybrid - Aggressive Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,41.8,5.17,15.21,11.25,5000.0,1.98,1000.0
ICICI Pru Equity Savings Fund(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,18.18,6.13,6.87,7.12,5000.0,0.99,1000.0
ICICI Pru Equity Savings Fund(Q-IDCW Payout), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,12.38,6.13,6.88,6.84,5000.0,0.99,1000.0
IDFC Corp Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,16.1,4.64,2.68,5.51,1000.0,0.61,1000.0
Mirae Asset Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,22.4,2.47,12.66,10.4,5000.0,1.77,1000.0
Mirae Asset Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.32,2.49,12.66,10.1,5000.0,1.77,1000.0
Mirae Asset Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,31.09,0.67,17.48,13.43,1000.0,1.71,1000.0
Mirae Asset Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,19.33,0.67,17.49,13.2,1000.0,1.71,1000.0
IDFC Corp Bond Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,10.85,4.64,2.68,3.37,1000.0,0.61,1000.0
Edelweiss Arbitrage Fund-Reg(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,13.39,4.64,4.1,4.64,5000.0,1.08,1000.0
Edelweiss Balanced Advantage Fund-Reg(M-IDCW), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,19.78,2.67,12.65,9.36,5000.0,1.75,1000.0
UTI Nifty Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,13.79,-6.45,10.44,7.160055147058823,5000.0,0.79,1000.0
Parag Parikh Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1239.52,4.87,3.8,7.160055147058823,5000.0,0.27,1000.0
Mirae Asset Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,15.14,3.67,10.55,7.160055147058823,5000.0,1.42,1000.0
Parag Parikh Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1000.54,4.86,3.77,7.160055147058823,5000.0,0.27,1000.0
Parag Parikh Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1001.49,4.87,3.74,7.160055147058823,5000.0,0.27,1000.0
Parag Parikh Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1005.77,4.87,3.72,7.160055147058823,5000.0,0.27,1000.0
Kotak Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,15.17,5.5,9.98,7.160055147058823,1000.0,1.68,1000.0
Kotak Balanced Advantage Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,15.17,5.5,9.98,7.160055147058823,1000.0,1.68,1000.0
Motilal Oswal Nasdaq 100 FOF-Reg(G), FoFs (Overseas), Open ended, Nasdaq-100,21.37,-7.87,13.71,7.160055147058823,1000.0,0.5,1000.0
Motilal Oswal Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,11.83,4.76,3.62,7.160055147058823,1000.0,0.36,1000.0
Mirae Asset Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,11.71,3.67,10.52,7.160055147058823,5000.0,1.42,1000.0
DSP Quant Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,15.85,-2.65,11.86,7.160055147058823,1000.0,1.29,1000.0
Motilal Oswal Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,10.01,4.76,4.26,7.160055147058823,1000.0,0.36,1000.0
Motilal Oswal Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,10.02,4.76,3.58,7.160055147058823,1000.0,0.36,1000.0
Motilal Oswal Liquid Fund-Reg(FN-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,10.01,4.77,3.51,7.160055147058823,1000.0,0.36,1000.0
Motilal Oswal Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,10.06,4.76,3.57,7.160055147058823,1000.0,0.36,1000.0
Motilal Oswal Liquid Fund-Reg(Q-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,10.08,4.78,3.64,7.160055147058823,1000.0,0.36,1000.0
DSP Quant Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,15.85,-2.65,11.86,7.160055147058823,1000.0,1.29,1000.0
Motilal Oswal S&P 500 Index Fund-Reg(G), Equity - Thematic Fund - Global, Open ended, S&P 500 - TRI,15.37,3.42,8.868668958742633,7.160055147058823,1000.0,1.06,1000.0
IDFC CRISIL IBX Gilt June 2027 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Gilt 2027 Index,10.73,4.31,1.93,7.160055147058823,1000.0,0.41,1000.0
IDFC CRISIL IBX Gilt June 2027 Index Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Gilt 2027 Index,10.27,4.31,1.94,7.160055147058823,1000.0,0.41,1000.0
Canara Rob Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,250.21,1.77,12.46,11.09,5000.0,1.77,1000.0
Canara Rob Equity Hybrid Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,84.96,1.76,12.33,10.53,5000.0,1.77,1000.0
Canara Rob Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,224.89,-0.61,14.29,12.64,5000.0,1.77,1000.0
Canara Rob Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,45.86,-1.59,13.92,11.93,5000.0,1.77,1000.0
Canara Rob Equity Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI,36.43,0.83,16.37,13.91,1000.0,1.98,1000.0
Canara Rob Savings Fund-Reg(DD-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,10.26,5.41,4.4,4.37,5000.0,0.6,1000.0
Canara Rob Savings Fund-Reg(IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,31.85,5.4,4.4,4.44,5000.0,0.6,1000.0
Canara Rob Savings Fund-Reg(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,35.56,5.4,4.39,4.44,5000.0,0.6,1000.0
Canara Rob Savings Fund-Reg(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,10.26,5.4,4.4,4.39,5000.0,0.6,1000.0
DSP Ultra Short Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,2899.29,5.33,4.41,3.89,1000.0,1.04,1000.0
DSP Ultra Short Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1005.05,5.33,4.41,3.79,1000.0,1.04,1000.0
DSP Equity Opportunities Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,29.8,4.56,14.6,9.82,1000.0,1.86,1000.0
DSP Equity Opportunities Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,364.26,4.56,14.6,10.4,1000.0,1.86,1000.0
DSP Short Term Fund-Reg(IDCW), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,12.22,4.31,3.16,4.04,1000.0,0.96,1000.0
DSP Short Term Fund-Reg(G), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,39.11,4.31,3.16,4.59,1000.0,0.96,1000.0
DSP Short Term Fund-Reg(M-IDCW Reinv), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,11.45,4.31,3.16,4.48,1000.0,1.3712016129032258,1030.463038180341
DSP Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,18.74,3.1,16.16,11.44,1000.0,1.84,1000.0
DSP Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,83.03,3.1,16.3,12.09,1000.0,1.84,1000.0
PGIM India Liquid Fund(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,288.33,5.19,4.13,5.27,5000.0,0.27,1000.0
PGIM India Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,100.3,5.19,4.09,4.45,5000.0,0.27,1000.0
PGIM India Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,111.14,5.19,4.05,4.57,5000.0,0.27,1000.0
PGIM India Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,100.61,5.19,4.07,4.47,5000.0,0.27,1000.0
IDFC Bond Fund - Medium Term Plan-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,38.46,3.41,1.22,4.12,1000.0,1.47,1000.0
IDFC Bond Fund - Medium Term Plan-Reg(M-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,10.24,3.41,1.22,3.94,1000.0,1.47,1000.0
IDFC Bond Fund - Medium Term Plan-Reg(FN-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,10.27,3.41,1.22,3.99,1000.0,1.47,1000.0
IDFC Bond Fund - Medium Term Plan-Reg(DD-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,10.26,3.8,1.41,4.21,1000.0,1.47,1000.0
IDFC Bond Fund - Medium Term Plan-Reg(BM-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,11.89,3.41,1.22,4.02,1000.0,1.47,1000.0
HDFC Equity Savings Fund(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,11.8,4.95,10.36,7.23,1000.0,2.09,1000.0
HDFC Equity Savings Fund(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,50.61,4.96,10.37,7.62,1000.0,2.09,1000.0
ICICI Pru Equity-Arbitrage Fund(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,14.08,4.54,4.12,4.62,5000.0,0.99,1000.0
ICICI Pru Equity-Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,29.01,4.54,4.13,4.9,5000.0,0.99,1000.0
ICICI Pru Equity & Debt Fund(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,243.26,7.94,20.29,13.38,5000.0,1.76,1000.0
ICICI Pru Floating Interest Fund(DD-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,100.88,7.34,4.58,5.41,1000.0,1.28,1000.0
ICICI Pru Floating Interest Fund(G), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,352.62,7.47,4.65,5.53,1000.0,1.28,1000.0
ICICI Pru Smallcap Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,25.86,7.21,24.21,12.4,5000.0,2.0,1000.0
ICICI Pru Smallcap Fund(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,53.23,7.22,24.21,12.43,5000.0,2.0,1000.0
Kotak Bond Short Term Fund(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,43.75,4.63,2.99,4.92,5000.0,1.16,1000.0
Kotak Savings Fund(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,36.38,5.61,4.74,4.47,5000.0,0.81,1000.0
Kotak Savings Fund(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,10.72,5.61,4.74,4.44,5000.0,0.81,1000.0
Kotak Banking and PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,54.57,5.43,3.64,5.41,5000.0,0.81,1000.0
Kotak Banking and PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,10.44,5.43,3.63,5.4,5000.0,0.81,1000.0
Kotak Tax Saver Fund(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,28.36,5.86,15.53,12.38,1000.0,2.08,1000.0
Kotak Tax Saver Fund(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,75.78,5.86,15.63,12.8,1000.0,2.08,1000.0
Invesco India Corporate Bond Fund(A-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,1926.3,4.73,3.01,4.33,1000.0,0.66,1000.0
Invesco India Corporate Bond Fund(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,2650.74,4.73,3.01,4.98,1000.0,0.66,1000.0
Invesco India Corporate Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,1519.32,4.73,3.01,4.98,1000.0,0.66,1000.0
Invesco India Corporate Bond Fund(Q-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,1150.29,4.73,3.01,4.79,1000.0,0.66,1000.0
Invesco India Arbitrage Fund(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,14.39,5.4,4.32,4.7,1000.0,1.05,1000.0
Invesco India Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,26.96,5.4,4.34,4.94,1000.0,1.05,1000.0
Invesco India Contra Fund(IDCW), Equity - Contra Fund, Open ended, S&P BSE 500 - TRI,32.38,3.5,15.43,10.69,1000.0,1.78,1000.0
Invesco India Contra Fund(G), Equity - Contra Fund, Open ended, S&P BSE 500 - TRI,79.32,3.52,15.5,11.0,1000.0,1.78,1000.0
Invesco India Treasury Advantage Fund(DD-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1012.23,5.33,4.27,4.66,1000.0,0.65,1000.0
Invesco India Treasury Advantage Fund(G), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,3190.65,5.33,4.29,4.73,1000.0,0.65,1000.0
Invesco India Treasury Advantage Fund(M-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1162.81,5.33,4.29,4.67,1000.0,0.65,1000.0
Invesco India Treasury Advantage Fund(W-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1150.85,5.33,4.29,4.72,1000.0,0.65,1000.0
Invesco India Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI,33.42,2.79,17.54,12.13,1000.0,2.03,1000.0
Invesco India Midcap Fund(G), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI,88.4,2.79,17.53,12.62,1000.0,2.03,1000.0
SBI BlueChip Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,36.44,6.59,15.37,10.99,5000.0,1.59,1000.0
SBI BlueChip Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,64.05,6.59,15.37,11.0,5000.0,1.59,1000.0
SBI Equity Hybrid Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,43.05,0.71,10.47,9.91,1000.0,1.45,1000.0
SBI Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,203.17,0.71,10.47,10.07,1000.0,1.45,1000.0
SBI Nifty Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,80.34,4.55,14.56,11.77,5000.0,0.5,1000.0
SBI Nifty Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,156.58,4.55,14.52,11.74,5000.0,0.5,1000.0
SBI Large & Midcap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,176.54,8.22,17.72,12.34,5000.0,1.79,1000.0
SBI Large & Midcap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,390.76,8.22,17.71,12.34,5000.0,1.79,1000.0
SBI Focused Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,40.61,-5.88,10.97,10.58,5000.0,1.6,1000.0
SBI Focused Equity Fund-Reg(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,222.04,-5.88,10.97,10.58,5000.0,1.6,1000.0
SBI Short Term Debt Fund-Reg(FN-IDCW), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,12.18,5.22,3.6,4.88,5000.0,0.84,1000.0
SBI Short Term Debt Fund-Reg(G), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,26.89,5.22,3.6,4.93,5000.0,0.84,1000.0
SBI Short Term Debt Fund-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,14.87,5.22,3.6,4.9,5000.0,0.84,1000.0
SBI Short Term Debt Fund-Reg(W-IDCW), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,12.19,5.22,3.6,4.85,5000.0,0.84,1000.0
Sundaram Corp Bond Fund(H-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,15.87,5.47,3.94,5.33,5000.0,0.54,1000.0
Sundaram Corp Bond Fund(M-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,15.0,5.48,3.94,5.5,5000.0,0.54,1000.0
Sundaram Corp Bond Fund(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,33.73,5.47,3.94,5.53,5000.0,0.54,1000.0
Sundaram Corp Bond Fund(A-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,15.6,5.47,3.94,5.12,5000.0,0.54,1000.0
Sundaram Corp Bond Fund(Q-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,17.09,5.47,3.94,5.43,5000.0,0.54,1000.0
Sundaram Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,35.91,4.62,3.06,4.24,5000.0,0.38,1000.0
Sundaram Banking & PSU Debt Fund(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,10.35,4.62,3.06,4.15,5000.0,0.38,1000.0
Sundaram Banking & PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,11.6,4.62,3.06,4.16,5000.0,0.38,1000.0
Franklin India Liquid Fund-Super Inst(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1000.0,5.22,3.97,4.4,10000.0,0.21,1000.0
Franklin India Liquid Fund-Super Inst(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,3332.05,5.22,4.18,5.34,10000.0,0.21,1000.0
Franklin India Liquid Fund-Super Inst(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1022.69,5.22,3.96,4.37,2500000.0,0.21,1000.0
UTI Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,151.95,-7.47,12.42,12.02,5000.0,1.69,1000.0
UTI Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,229.83,-7.47,12.42,12.17,5000.0,1.69,1000.0
HDFC Floating Rate Debt Fund(DD-IDCW), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index,10.08,6.46,4.75,5.74,1000.0,0.48,1000.0
HDFC Floating Rate Debt Fund(W-IDCW), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index,10.05,6.51,4.63,5.66,1000.0,0.48,1000.0
HDFC Floating Rate Debt Fund(M-IDCW), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index,10.18,6.51,4.77,5.73,1000.0,0.48,1000.0
HDFC Floating Rate Debt Fund(G), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index,41.36,6.51,4.78,5.79,1000.0,0.48,1000.0
Edelweiss Mid Cap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,52.36,5.79,21.16,11.88,5000.0,2.12,1000.0
Edelweiss Mid Cap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,30.18,5.79,20.53,11.43,5000.0,2.12,1000.0
ICICI Pru Bluechip Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,69.51,5.63,16.09,11.48,1000.0,1.67,1000.0
ICICI Pru Bluechip Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,24.12,5.63,16.08,11.04,1000.0,1.67,1000.0
Aditya Birla SL Banking & PSU Debt(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,306.48,5.08,3.81,5.52,1000.0,0.72,1000.0
Aditya Birla SL Banking & PSU Debt(IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,163.84,5.08,3.8,4.93,1000.0,0.72,1000.0
Aditya Birla SL Banking & PSU Debt(Q-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,108.73,5.08,3.81,5.38,1000.0,0.72,1000.0
Sundaram Banking & PSU Debt Fund(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,12.1,4.63,3.15,4.26,5000.0,0.38,1000.0
Canara Rob Ultra Short Term Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,3252.65,5.23,4.29,3.69,1000.0,0.95,1000.0
Canara Rob Ultra Short Term Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1240.71,5.24,4.3,3.63,1000.0,0.95,1000.0
ICICI Pru Bond Fund(G), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,33.07,5.66,3.72,5.13,5000.0,1.11,1000.0
ICICI Pru Bond Fund(M-IDCW), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,11.34,5.66,3.72,4.94,5000.0,1.11,1000.0
Edelweiss Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,2835.12,5.04,4.05,5.18,5000.0,0.39,1000.0
Edelweiss Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1049.76,5.05,3.99,4.36,5000.0,0.39,1000.0
Edelweiss Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1037.44,5.04,4.0,4.37,5000.0,0.39,1000.0
Edelweiss Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1064.02,5.04,3.94,4.3,5000.0,0.39,1000.0
Aditya Birla SL Banking & PSU Debt(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,110.63,5.08,3.48,5.32,1000.0,0.72,1000.0
Canara Rob Ultra Short Term Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1240.93,5.24,4.24,3.62,1000.0,0.95,1000.0
ICICI Pru Floating Interest Fund(W-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,102.19,7.47,4.65,5.51,1000.0,1.28,1000.0
Canara Rob Equity Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI,116.48,0.83,16.57,14.36,1000.0,1.98,1000.0
ICICI Pru Bond Fund(Q-IDCW), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,11.32,5.66,3.72,4.83,5000.0,1.11,1000.0
Invesco India Money Market Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2570.46,5.66,4.26,4.39,1000.0,0.55,1000.0
Invesco India Money Market Fund(M-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,1020.68,5.66,4.26,4.31,1000.0,0.55,1000.0
SBI Banking and PSU Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2614.29,4.91,3.0,4.7,5000.0,0.81,1000.0
SBI Banking and PSU Fund-Reg(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,1192.71,4.92,3.0,4.62,5000.0,0.81,1000.0
Axis Treasury Advantage Fund-Reg(G), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,2599.91,5.69,4.65,5.03,5000.0,0.63,1000.0
Axis Treasury Advantage Fund-Reg(DD-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1013.25,5.69,4.65,4.99,5000.0,0.63,1000.0
Axis Treasury Advantage Fund-Reg(M-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1013.39,5.69,4.65,4.97,5000.0,0.63,1000.0
Axis Treasury Advantage Fund-Reg(W-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1011.98,5.69,4.65,4.97,5000.0,0.63,1000.0
ICICI Pru Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,27.28,6.31,4.7,5.48,1000.0,0.76,1000.0
Canara Rob Bluechip Equity Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,42.06,1.69,14.05,13.12,5000.0,1.78,1000.0
Canara Rob Bluechip Equity Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,21.49,1.62,13.99,12.69,5000.0,1.78,1000.0
